Abs,H,S,L,IndexHSL,Day,CPC
0.5121,0.8,0.178571429,0.818181818,0.817197431,0,0.2266
0.5121,0.771428571,0.178571429,0.848484848,0.780209478,0,0.2266
0.5121,0.8,0.178571429,0.787878788,0.808871863,0,0.2266
0.5121,0.8,0.142857143,0.787878788,0.804145485,0,0.2266
0.5121,0.685714286,0.107142857,0.787878788,0.689814014,0,0.2266
0.5121,0.742857143,0.142857143,0.848484848,0.737044312,0,0.2266
0.5121,0.742857143,0.25,0.848484848,0.745936264,0,0.2266
0.5121,0.742857143,0.25,0.818181818,0.76143789,0,0.2266
0.5121,0.771428571,0.214285714,0.787878788,0.781105091,0,0.2266
0.5121,0.742857143,0.178571429,0.818181818,0.764325612,0,0.2266
0.5121,0.8,0.142857143,0.878787879,0.800448643,0,0.2266
0.5121,0.8,0.142857143,0.848484848,0.793864079,0,0.2266
0.5121,0.828571429,0.107142857,0.787878788,0.835932748,0,0.2266
0.5121,0.828571429,0.142857143,0.818181818,0.822562735,0,0.2266
0.5121,0.8,0.107142857,0.818181818,0.802209177,0,0.2266
0.5121,0.828571429,0.142857143,0.787878788,0.839079947,0,0.2266
0.5121,0.8,0.142857143,0.757575758,0.798746701,0,0.2266
0.5121,0.771428571,0.142857143,0.878787879,0.766493496,0,0.2266
0.5121,0.8,0.142857143,0.848484848,0.798607197,0,0.2266
0.5121,0.771428571,0.071428571,0.878787879,0.772483776,0,0.2266
0.5121,0.771428571,0.178571429,0.848484848,0.766328882,0,0.2266
0.5121,0.8,0.142857143,0.848484848,0.798244488,0,0.2266
0.5121,0.8,0.142857143,0.848484848,0.821697813,0,0.2266
0.5121,0.742857143,0.142857143,0.848484848,0.75342481,0,0.2266
0.5121,0.8,0.142857143,0.787878788,0.812152985,0,0.2266
0.5121,0.685714286,0.107142857,0.878787879,0.694702216,0,0.2266
0.5121,0.771428571,0.142857143,0.848484848,0.789656654,0,0.2266
0.5121,0.742857143,0.142857143,0.878787879,0.746954639,0,0.2266
0.5121,0.828571429,0.142857143,0.787878788,0.827830386,0,0.2266
0.5121,0.742857143,0.142857143,0.787878788,0.762891517,0,0.2266
0.5121,0.828571429,0.142857143,0.818181818,0.850301607,0,0.2266
0.5121,0.828571429,0.142857143,0.757575758,0.841950928,0,0.2266
0.5121,0.8,0.178571429,0.818181818,0.796860614,0,0.2266
0.5121,0.828571429,0.178571429,0.818181818,0.827760634,0,0.2266
0.5121,0.714285714,0.142857143,0.878787879,0.732024977,0,0.2266
0.5121,0.714285714,0.178571429,0.848484848,0.735501403,0,0.2266
0.5121,0.771428571,0.178571429,0.818181818,0.776819544,0,0.2266
0.5121,0.742857143,0.107142857,0.848484848,0.763530442,0,0.2266
0.5121,0.8,0.107142857,0.848484848,0.806821162,0,0.2266
0.5121,0.771428571,0.214285714,0.818181818,0.772620489,0,0.2266
0.5121,0.657142857,0.142857143,0.848484848,0.673522798,0,0.2266
0.5121,0.742857143,0.142857143,0.757575758,0.745222006,0,0.2266
0.5121,0.8,0.142857143,0.787878788,0.793872449,0,0.2266
0.5121,0.8,0.142857143,0.878787879,0.817641052,0,0.2266
0.5121,0.714285714,0.142857143,0.848484848,0.71731015,0,0.2266
0.5121,0.771428571,0.142857143,0.878787879,0.766379103,0,0.2266
0.5121,0.714285714,0.214285714,0.909090909,0.71853499,0,0.2266
0.5121,0.8,0.178571429,0.909090909,0.794801542,0,0.2266
0.5121,0.828571429,0.178571429,0.878787879,0.842481041,0,0.2266
0.5121,0.8,0.178571429,0.878787879,0.803908329,0,0.2266
0.5121,0.771428571,0.142857143,0.848484848,0.78627788,0,0.2266
0.5121,0.828571429,0.178571429,0.878787879,0.837804885,0,0.2266
0.5121,0.8,0.178571429,0.878787879,0.794391402,0,0.2266
0.5121,0.742857143,0.178571429,0.878787879,0.757263946,0,0.2266
0.5121,0.771428571,0.178571429,0.96969697,0.785371107,0,0.2266
