R,G,B,IndexRGB,CPC
0.803738318,0.8,0.846153846,0.80251155,0.2266
0.878504673,0.876923077,0.901098901,0.870870159,0.2266
0.841121495,0.815384615,0.868131868,0.834677038,0.2266
0.887850467,0.846153846,0.89010989,0.882537474,0.2266
0.831775701,0.815384615,0.857142857,0.825911416,0.2266
0.859813084,0.830769231,0.868131868,0.85476503,0.2266
0.841121495,0.830769231,0.879120879,0.837924955,0.2266
0.831775701,0.8,0.846153846,0.824293143,0.2266
0.794392523,0.753846154,0.824175824,0.794800519,0.2266
0.887850467,0.846153846,0.879120879,0.884764483,0.2266
0.831775701,0.784615385,0.846153846,0.827246427,0.2266
0.859813084,0.846153846,0.879120879,0.855053124,0.2266
0.813084112,0.784615385,0.835164835,0.806906584,0.2266
0.803738318,0.769230769,0.824175824,0.796308927,0.2266
0.757009346,0.738461538,0.78021978,0.749551692,0.2266
0.747663551,0.753846154,0.813186813,0.744309004,0.2266
0.85046729,0.861538462,0.89010989,0.851086607,0.2266
0.878504673,0.861538462,0.901098901,0.875503827,0.2266
0.831775701,0.815384615,0.857142857,0.832622289,0.2266
0.813084112,0.815384615,0.857142857,0.811880507,0.2266
0.878504673,0.861538462,0.89010989,0.876531983,0.2266
0.869158879,0.846153846,0.89010989,0.867921281,0.2266
0.831775701,0.815384615,0.868131868,0.82970411,0.2266
0.831775701,0.815384615,0.846153846,0.82916985,0.2266
0.803738318,0.8,0.846153846,0.803962396,0.2266
0.813084112,0.784615385,0.846153846,0.810269482,0.2266
0.859813084,0.876923077,0.901098901,0.853995121,0.2266
0.822429907,0.8,0.857142857,0.817119357,0.2266
0.91588785,0.907692308,0.934065934,0.912288629,0.2266
0.869158879,0.892307692,0.912087912,0.869620993,0.2266
0.869158879,0.892307692,0.923076923,0.869889616,0.2266
0.91588785,0.923076923,0.945054945,0.91420665,0.2266
0.85046729,0.861538462,0.901098901,0.848221299,0.2266
0.859813084,0.861538462,0.89010989,0.855267311,0.2266
0.85046729,0.861538462,0.901098901,0.849031289,0.2266
0.859813084,0.861538462,0.89010989,0.855668966,0.2266
0.869158879,0.876923077,0.901098901,0.866285099,0.2266
0.934579439,0.984615385,0.978021978,0.931445253,0.2266
0.878504673,0.907692308,0.923076923,0.871492397,0.2266
0.85046729,0.846153846,0.89010989,0.847104171,0.2266
0.822429907,0.815384615,0.857142857,0.822151269,0.2266
0.785046729,0.8,0.857142857,0.78020195,0.2266
0.794392523,0.8,0.857142857,0.794302217,0.2266
0.803738318,0.815384615,0.857142857,0.797317754,0.2266
0.803738318,0.8,0.846153846,0.80159269,0.2266
0.841121495,0.846153846,0.879120879,0.838266489,0.2266
0.785046729,0.769230769,0.835164835,0.778263746,0.2266
0.822429907,0.876923077,0.89010989,0.820823932,0.2266
0.841121495,0.861538462,0.89010989,0.838403359,0.2266
0.813084112,0.784615385,0.846153846,0.813611488,0.2266
0.785046729,0.738461538,0.813186813,0.783759706,0.2266
0.943925234,0.923076923,0.956043956,0.942517192,0.2266
0.869158879,0.846153846,0.89010989,0.869739955,0.2266
